feature,loser_mean,winner_mean,cohen_d,abs_cohen_d,ks_stat,ks_pvalue,mwu_pvalue
msr_rank_10,0.7050582648540881,0.6636299075470711,-0.175069918094158,0.175069918094158,0.09536022382839823,2.181475805711304e-17,5.089140732173412e-19
mrs_10,2.7544575451918725,2.1556020250931556,-0.14702990651951156,0.14702990651951156,0.0657495919794824,1.752821469993569e-08,7.338731337721705e-11
rs_10,1.5054298192608475,0.6929046667583766,-0.1390656568076183,0.1390656568076183,0.0648169736535323,2.957001570062151e-08,1.975198554389102e-08
mrs_20,0.9785863419145241,0.2111228166908869,-0.13288391342961592,0.13288391342961592,0.06062019118675682,2.835352562852038e-07,2.7506814620169502e-08
kf_distance,0.014309343912530399,0.008839497661143374,-0.11167240893116347,0.11167240893116347,0.05665656330146887,2.0862021571325316e-06,1.9073487347474038e-07
ema_20_distance,0.014324589945112633,0.008861255793424845,-0.11165224799616918,0.11165224799616918,0.05665656330146887,2.0862021571325316e-06,1.919123266809637e-07
volume_threshold_ma_20,-0.48882011260960495,-0.2100861357262232,0.10956061503304337,0.10956061503304337,0.02611331312660294,0.10734692248144452,0.7467366980976973
ema_50_distance,0.007030161857235425,-0.003452159013356854,-0.10689055276628505,0.10689055276628505,0.05292608999766846,1.2063959747255422e-05,6.944159263163792e-06
rs_20,-0.05286138385201715,-1.2292589803034875,-0.10514334612919585,0.10514334612919585,0.05362555374213103,8.76092904761341e-06,7.799447274580611e-05
msr_rank_20,0.5539479256379632,0.5243997459090888,-0.10354452490382908,0.10354452490382908,0.06318489158311962,7.252241260066139e-08,5.504061334448228e-07
volume_threshold_ma_10,-0.3934278028681489,-0.13287672988656804,0.10295129289371306,0.10295129289371306,0.039403124271391934,0.002562099560736774,0.03983446539431726
ema_200_distance,0.02573017678952266,0.005989427406044113,-0.09262806646433408,0.09262806646433408,0.038004196782466776,0.004077356882288508,0.0001809441573740516
ema_10_distance,0.020994329003719087,0.018591629548778934,-0.07955061660184064,0.07955061660184064,0.046164607134530196,0.00021398003162160286,0.00024094857038368738
yz_vol_20,0.46430786852966965,0.4503941116101065,-0.06599341676669385,0.06599341676669385,0.07064583819072044,9.953951351795375e-10,0.000397195891097696
rsi_window_14,52.48009413702121,51.7859479541671,-0.06508572668542308,0.06508572668542308,0.042900442993704824,0.0007450669835567679,0.0007732802645242716
mfi_21,49.95450980973341,49.088707867400366,-0.05679399008122387,0.05679399008122387,0.0391699696899044,0.002771618499270879,0.005145863227734165
zscore_10_log_return,0.7700766954516636,0.6906998573953124,-0.05363240577421655,0.05363240577421655,0.028678013522965725,0.058756939881398226,0.6127253815218072
zscore_kf_10,0.15382250265924957,0.05056243458311239,-0.05149963215391568,0.05149963215391568,0.0338074143156913,0.014856901532315269,0.2153365696735967
zscore_kf_20,-0.2880173447909294,-0.374430531895807,-0.05080631476441909,0.05080631476441909,0.0373047330380042,0.005111312605532236,0.002333858805465853
vwap_distance_highest,-0.0836844525148601,-0.091427542820131,-0.048936033524339305,0.048936033524339305,0.01795290277453952,0.4940840828972236,0.7623000863419935
rsi_window_5,61.880697502523425,61.200335315101064,-0.04668853880021371,0.04668853880021371,0.04150151550477967,0.0012366084252615878,0.00491514706949331
log_return,0.014467866455117592,0.013292696815948262,-0.042284432807677755,0.042284432807677755,0.0284448589414782,0.062211277985130486,0.44793959784387205
dc_tmv,-0.07098720193306639,-0.11331379851205202,-0.03778975028091899,0.03778975028091899,0.030776404756353463,0.034406455103487235,0.03054996462919704
efi_zscore_10,1.916790179697471,1.503121931163162,-0.03295295823669487,0.03295295823669487,0.029610631848915832,0.04653610787410289,0.6725383199022046
efi_zscore_20,1.202202328662549,1.0819056886704035,-0.029545587379641376,0.029545587379641376,0.025647003963627884,0.11904973511483072,0.42619654557277553
zscore_20_log_return,0.6994999339414902,0.6652106169307526,-0.027315050941863383,0.027315050941863383,0.02238283982280252,0.23290632396138822,0.8966062008949003
yz_vol_10,0.461355356797906,0.45606386071684674,-0.023025591269175305,0.023025591269175305,0.06598274656096992,1.5362107677743288e-08,0.027935661931656572
obv,243874202.82256937,222517833.21846583,-0.019003028636556958,0.019003028636556958,0.03963627885287946,0.0023673133426405546,0.03501157455620324
vwap_distance_lowest,0.0703127308112295,0.0702232977438206,-0.0006938784738791037,0.0006938784738791037,0.025180694800652832,0.13177971559237314,0.958412701955249
