feature,loser_mean,winner_mean,cohen_d,abs_cohen_d,ks_stat,ks_pvalue,mwu_pvalue
mrs_21,1.0242170367167178,0.39856332989611826,-0.15830775182897514,0.15830775182897514,0.07002337747018667,1.1774300644076412e-09,1.2229908347391796e-11
momentum_20,-0.013133829729490358,-0.025622603473341728,-0.14187021820604873,0.14187021820604873,0.056587365564462797,1.8737050740062582e-06,9.200216473441786e-08
dist_ma20,0.014061798211716773,0.009385304518421225,-0.13809466728979872,0.13809466728979872,0.06162152675200122,1.46856936843713e-07,5.301505304403912e-10
vn_momentum_20,-0.00047148011047183516,-0.006371001796970808,-0.1046211054371541,0.1046211054371541,0.07784763293687091,8.7015790027136e-12,8.781793579933097e-07
price_vs_ma50,-0.005179211948455852,-0.01143213213432517,-0.07720384378440277,0.07720384378440277,0.03895395679143629,0.002746345904165552,0.011028071313566245
dist_avwap_lo,0.06081785700022388,0.06979503684920547,0.07561637483017884,0.07561637483017884,0.03368164041240782,0.01826268815700845,0.005801958354264846
rsi14,52.851477357645464,52.392905955509086,-0.05646744412008779,0.05646744412008779,0.03352525096465195,0.015341004739079754,0.005087932951427936
dist_avwap_hi,-0.07237799758618045,-0.07866363096738373,-0.05181654098123513,0.05181654098123513,0.03002549863846357,0.0478474250722006,0.5401245892115427
atr_pct,0.037655939575573796,0.03685127630255093,-0.049015506919321425,0.049015506919321425,0.07547497809102884,4.0962587563742077e-11,2.818068615251171e-06
vol_ratio,1.3641016959327188,1.3131659710577226,-0.04529324763774468,0.04529324763774468,0.043917884409190366,0.00046671784887564204,0.08750936221365402
roll_vol_20,0.4226104820178057,0.4141761172499996,-0.04225083376447075,0.04225083376447075,0.07247145046116041,2.817425518572173e-10,0.000521068033503875
price_vs_ma200,0.027325207480909004,0.01912964575903724,-0.03747085753563838,0.03747085753563838,0.03477626459143969,0.013839107191459287,0.2550693900056661
Size,20.36706927928114,19.492655832788795,-0.03542513523924362,0.03542513523924362,0.01877389273772823,0.42415838022965385,0.5635183918476441
